Timestamp,Topic,Temp,Hum
2025-06-10 11:09:46,TEMP/SUB/,30.08,67.33
2025-06-10 11:10:10,TEMP/SUB/,30.08,67.29
2025-06-10 11:10:34,TEMP/SUB/,30.09,67.18
2025-06-10 11:10:58,TEMP/SUB/,30.09,67.14
2025-06-10 11:11:22,TEMP/SUB/,30.1,67.13
2025-06-10 11:11:46,TEMP/SUB/,30.11,67.11
2025-06-10 11:12:10,TEMP/SUB/,30.11,67.06
2025-06-10 11:12:34,TEMP/SUB/,30.11,67.02
2025-06-10 11:12:59,TEMP/SUB/,30.11,66.94
2025-06-10 11:13:23,TEMP/SUB/,30.11,66.95
2025-06-10 11:13:47,TEMP/SUB/,30.12,66.91
2025-06-10 11:14:11,TEMP/SUB/,30.11,66.87
2025-06-10 11:14:35,TEMP/SUB/,30.12,66.87
2025-06-10 11:14:59,TEMP/SUB/,30.11,66.78
2025-06-10 11:15:23,TEMP/SUB/,30.1,66.8
2025-06-10 11:15:47,TEMP/SUB/,30.11,66.78
2025-06-10 11:16:12,TEMP/SUB/,30.12,66.75
2025-06-10 11:16:36,TEMP/SUB/,30.13,66.69
2025-06-10 11:17:00,TEMP/SUB/,30.13,66.59
2025-06-10 11:17:24,TEMP/SUB/,30.13,66.55
2025-06-10 11:17:48,TEMP/SUB/,30.13,66.53
2025-06-10 11:18:12,TEMP/SUB/,30.13,66.49
2025-06-10 11:18:37,TEMP/SUB/,30.13,66.46
